tree_index,birth_rate,death_rate,extant_species,sampled_species,transfer_rate,seed
0,1.0,0.0,1200,60,0.025,864736217
1,1.0,0.0,1200,60,0.025,682604455
2,1.0,0.0,1200,60,0.025,765829694
3,1.0,0.0,1200,60,0.025,418354863
4,1.0,0.0,1200,60,0.025,813120657
5,1.0,0.0,1200,60,0.025,944180718
6,1.0,0.0,1200,60,0.025,932633261
7,1.0,0.0,1200,60,0.025,51928246
8,1.0,0.0,1200,60,0.025,804823331
9,1.0,0.0,1200,60,0.025,474755646
10,1.0,0.0,1200,60,0.025,841605942
11,1.0,0.0,1200,60,0.025,712560209
12,1.0,0.0,1200,60,0.025,438684055
13,1.0,0.0,1200,60,0.025,102747821
14,1.0,0.0,1200,60,0.025,330871883
15,1.0,0.0,1200,60,0.025,21414615
16,1.0,0.0,1200,60,0.025,428639629
17,1.0,0.0,1200,60,0.025,1040601554
18,1.0,0.0,1200,60,0.025,354855396
19,1.0,0.0,1200,60,0.025,818026026
20,1.0,0.0,1200,60,0.025,15664201
21,1.0,0.0,1200,60,0.025,854748075
22,1.0,0.0,1200,60,0.025,823899857
23,1.0,0.0,1200,60,0.025,268461263
24,1.0,0.0,1200,60,0.025,779584392
25,1.0,0.0,1200,60,0.025,693573109
26,1.0,0.0,1200,60,0.025,412090484
27,1.0,0.0,1200,60,0.025,339075855
28,1.0,0.0,1200,60,0.025,889533955
29,1.0,0.0,1200,60,0.025,484129470
30,1.0,0.0,1200,60,0.025,972665070
31,1.0,0.0,1200,60,0.025,1031150568
32,1.0,0.0,1200,60,0.025,877621410
33,1.0,0.0,1200,60,0.025,842866116
34,1.0,0.0,1200,60,0.025,480283007
35,1.0,0.0,1200,60,0.025,900134425
36,1.0,0.0,1200,60,0.025,1001627884
37,1.0,0.0,1200,60,0.025,279195335
38,1.0,0.0,1200,60,0.025,587104843
39,1.0,0.0,1200,60,0.025,60805670
40,1.0,0.0,1200,60,0.025,225353160
41,1.0,0.0,1200,60,0.025,502075448
42,1.0,0.0,1200,60,0.025,513457216
43,1.0,0.0,1200,60,0.025,51509722
44,1.0,0.0,1200,60,0.025,440551448
45,1.0,0.0,1200,60,0.025,397872491
46,1.0,0.0,1200,60,0.025,484171124
47,1.0,0.0,1200,60,0.025,352234673
48,1.0,0.0,1200,60,0.025,1036757919
49,1.0,0.0,1200,60,0.025,346565650
50,1.0,0.0,1200,60,0.025,257207542
51,1.0,0.0,1200,60,0.025,820807452
52,1.0,0.0,1200,60,0.025,459595050
53,1.0,0.0,1200,60,0.025,740444479
54,1.0,0.0,1200,60,0.025,417313942
55,1.0,0.0,1200,60,0.025,138479087
56,1.0,0.0,1200,60,0.025,691946292
57,1.0,0.0,1200,60,0.025,1035925363
58,1.0,0.0,1200,60,0.025,500685429
59,1.0,0.0,1200,60,0.025,129544594
60,1.0,0.0,1200,60,0.025,868674689
61,1.0,0.0,1200,60,0.025,627376229
62,1.0,0.0,1200,60,0.025,549900945
63,1.0,0.0,1200,60,0.025,913505198
64,1.0,0.0,1200,60,0.025,155506994
65,1.0,0.0,1200,60,0.025,760192113
66,1.0,0.0,1200,60,0.025,340318046
67,1.0,0.0,1200,60,0.025,757855615
68,1.0,0.0,1200,60,0.025,1033314261
69,1.0,0.0,1200,60,0.025,205480741
70,1.0,0.0,1200,60,0.025,609525067
71,1.0,0.0,1200,60,0.025,13283452
72,1.0,0.0,1200,60,0.025,908189120
73,1.0,0.0,1200,60,0.025,323791201
74,1.0,0.0,1200,60,0.025,728581579
75,1.0,0.0,1200,60,0.025,543913613
76,1.0,0.0,1200,60,0.025,167076381
77,1.0,0.0,1200,60,0.025,888255922
78,1.0,0.0,1200,60,0.025,627289848
79,1.0,0.0,1200,60,0.025,247837829
80,1.0,0.0,1200,60,0.025,155435416
81,1.0,0.0,1200,60,0.025,674931525
82,1.0,0.0,1200,60,0.025,700868380
83,1.0,0.0,1200,60,0.025,683957733
84,1.0,0.0,1200,60,0.025,197079787
85,1.0,0.0,1200,60,0.025,906065231
86,1.0,0.0,1200,60,0.025,199763496
87,1.0,0.0,1200,60,0.025,329005750
88,1.0,0.0,1200,60,0.025,417866066
89,1.0,0.0,1200,60,0.025,984325962
90,1.0,0.0,1200,60,0.025,1025361496
91,1.0,0.0,1200,60,0.025,305014299
92,1.0,0.0,1200,60,0.025,867916128
93,1.0,0.0,1200,60,0.025,425724907
94,1.0,0.0,1200,60,0.025,430259412
95,1.0,0.0,1200,60,0.025,996156671
96,1.0,0.0,1200,60,0.025,494757855
97,1.0,0.0,1200,60,0.025,543551811
98,1.0,0.0,1200,60,0.025,529100151
99,1.0,0.0,1200,60,0.025,42332612
100,1.0,0.0,1200,60,0.025,728285374
101,1.0,0.0,1200,60,0.025,968444693
102,1.0,0.0,1200,60,0.025,796231882
103,1.0,0.0,1200,60,0.025,1065221076
104,1.0,0.0,1200,60,0.025,793087
105,1.0,0.0,1200,60,0.025,187373062
106,1.0,0.0,1200,60,0.025,737647252
107,1.0,0.0,1200,60,0.025,67072446
108,1.0,0.0,1200,60,0.025,609871083
109,1.0,0.0,1200,60,0.025,1072918134
110,1.0,0.0,1200,60,0.025,934549914
111,1.0,0.0,1200,60,0.025,722537984
112,1.0,0.0,1200,60,0.025,844738670
113,1.0,0.0,1200,60,0.025,368585779
114,1.0,0.0,1200,60,0.025,365573213
115,1.0,0.0,1200,60,0.025,469066793
116,1.0,0.0,1200,60,0.025,78325390
117,1.0,0.0,1200,60,0.025,846645389
118,1.0,0.0,1200,60,0.025,586688478
119,1.0,0.0,1200,60,0.025,87178099
120,1.0,0.0,1200,60,0.025,352758388
121,1.0,0.0,1200,60,0.025,837619159
122,1.0,0.0,1200,60,0.025,706559801
123,1.0,0.0,1200,60,0.025,947013450
124,1.0,0.0,1200,60,0.025,579029955
125,1.0,0.0,1200,60,0.025,427913184
126,1.0,0.0,1200,60,0.025,877047516
127,1.0,0.0,1200,60,0.025,1004007176
128,1.0,0.0,1200,60,0.025,133034632
129,1.0,0.0,1200,60,0.025,504997375
130,1.0,0.0,1200,60,0.025,146008687
131,1.0,0.0,1200,60,0.025,55177890
132,1.0,0.0,1200,60,0.025,854402658
133,1.0,0.0,1200,60,0.025,1037760205
134,1.0,0.0,1200,60,0.025,506443649
135,1.0,0.0,1200,60,0.025,282753529
136,1.0,0.0,1200,60,0.025,679215188
137,1.0,0.0,1200,60,0.025,871830
138,1.0,0.0,1200,60,0.025,282225213
139,1.0,0.0,1200,60,0.025,621042473
140,1.0,0.0,1200,60,0.025,260835621
141,1.0,0.0,1200,60,0.025,823483838
142,1.0,0.0,1200,60,0.025,248052288
143,1.0,0.0,1200,60,0.025,820419556
144,1.0,0.0,1200,60,0.025,346449115
145,1.0,0.0,1200,60,0.025,563497043
146,1.0,0.0,1200,60,0.025,770270815
147,1.0,0.0,1200,60,0.025,531928690
148,1.0,0.0,1200,60,0.025,43645143
149,1.0,0.0,1200,60,0.025,501316808
