tree_index,birth_rate,death_rate,extant_species,sampled_species,transfer_rate,seed
0,1.0,0.0,300,60,0.025,613498868
1,1.0,0.0,300,60,0.025,628464851
2,1.0,0.0,300,60,0.025,297412587
3,1.0,0.0,300,60,0.025,930285573
4,1.0,0.0,300,60,0.025,203308188
5,1.0,0.0,300,60,0.025,257595130
6,1.0,0.0,300,60,0.025,399997540
7,1.0,0.0,300,60,0.025,719406038
8,1.0,0.0,300,60,0.025,736309489
9,1.0,0.0,300,60,0.025,312889301
10,1.0,0.0,300,60,0.025,967394333
11,1.0,0.0,300,60,0.025,714216573
12,1.0,0.0,300,60,0.025,1054806576
13,1.0,0.0,300,60,0.025,643177087
14,1.0,0.0,300,60,0.025,1056958218
15,1.0,0.0,300,60,0.025,19595974
16,1.0,0.0,300,60,0.025,807432794
17,1.0,0.0,300,60,0.025,349884742
18,1.0,0.0,300,60,0.025,2877844
19,1.0,0.0,300,60,0.025,697693897
20,1.0,0.0,300,60,0.025,311665603
21,1.0,0.0,300,60,0.025,738278834
22,1.0,0.0,300,60,0.025,36065633
23,1.0,0.0,300,60,0.025,475024722
24,1.0,0.0,300,60,0.025,391436946
25,1.0,0.0,300,60,0.025,977331576
26,1.0,0.0,300,60,0.025,539633394
27,1.0,0.0,300,60,0.025,286067878
28,1.0,0.0,300,60,0.025,1005360257
29,1.0,0.0,300,60,0.025,704667058
30,1.0,0.0,300,60,0.025,488276081
31,1.0,0.0,300,60,0.025,611435683
32,1.0,0.0,300,60,0.025,457354234
33,1.0,0.0,300,60,0.025,226714167
34,1.0,0.0,300,60,0.025,200603234
35,1.0,0.0,300,60,0.025,863872522
36,1.0,0.0,300,60,0.025,731524638
37,1.0,0.0,300,60,0.025,896897403
38,1.0,0.0,300,60,0.025,990130245
39,1.0,0.0,300,60,0.025,333452879
40,1.0,0.0,300,60,0.025,621831061
41,1.0,0.0,300,60,0.025,464434074
42,1.0,0.0,300,60,0.025,443504905
43,1.0,0.0,300,60,0.025,207426279
44,1.0,0.0,300,60,0.025,817973374
45,1.0,0.0,300,60,0.025,20265717
46,1.0,0.0,300,60,0.025,873634374
47,1.0,0.0,300,60,0.025,800811321
48,1.0,0.0,300,60,0.025,802636626
49,1.0,0.0,300,60,0.025,863157131
50,1.0,0.0,300,60,0.025,771325996
51,1.0,0.0,300,60,0.025,151763540
52,1.0,0.0,300,60,0.025,809620461
53,1.0,0.0,300,60,0.025,137298749
54,1.0,0.0,300,60,0.025,350400709
55,1.0,0.0,300,60,0.025,47583965
56,1.0,0.0,300,60,0.025,152967216
57,1.0,0.0,300,60,0.025,823728228
58,1.0,0.0,300,60,0.025,172806588
59,1.0,0.0,300,60,0.025,420018215
60,1.0,0.0,300,60,0.025,542222839
61,1.0,0.0,300,60,0.025,633796895
62,1.0,0.0,300,60,0.025,602014634
63,1.0,0.0,300,60,0.025,925723283
64,1.0,0.0,300,60,0.025,442726039
65,1.0,0.0,300,60,0.025,725252424
66,1.0,0.0,300,60,0.025,705325242
67,1.0,0.0,300,60,0.025,585662635
68,1.0,0.0,300,60,0.025,262109556
69,1.0,0.0,300,60,0.025,499849270
70,1.0,0.0,300,60,0.025,875851831
71,1.0,0.0,300,60,0.025,773122526
72,1.0,0.0,300,60,0.025,923956639
73,1.0,0.0,300,60,0.025,380531326
74,1.0,0.0,300,60,0.025,739059457
75,1.0,0.0,300,60,0.025,540477770
76,1.0,0.0,300,60,0.025,87084125
77,1.0,0.0,300,60,0.025,155148279
78,1.0,0.0,300,60,0.025,834134231
79,1.0,0.0,300,60,0.025,641579156
80,1.0,0.0,300,60,0.025,244709840
81,1.0,0.0,300,60,0.025,371594252
82,1.0,0.0,300,60,0.025,364129431
83,1.0,0.0,300,60,0.025,212159259
84,1.0,0.0,300,60,0.025,397163103
85,1.0,0.0,300,60,0.025,706322842
86,1.0,0.0,300,60,0.025,354059360
87,1.0,0.0,300,60,0.025,723492388
88,1.0,0.0,300,60,0.025,1022703908
89,1.0,0.0,300,60,0.025,711091623
90,1.0,0.0,300,60,0.025,174285870
91,1.0,0.0,300,60,0.025,209608353
92,1.0,0.0,300,60,0.025,484084244
93,1.0,0.0,300,60,0.025,950969658
94,1.0,0.0,300,60,0.025,195367882
95,1.0,0.0,300,60,0.025,57021061
96,1.0,0.0,300,60,0.025,80951082
97,1.0,0.0,300,60,0.025,362723303
98,1.0,0.0,300,60,0.025,659093610
99,1.0,0.0,300,60,0.025,417103325
100,1.0,0.0,300,60,0.025,438180920
101,1.0,0.0,300,60,0.025,261094756
