tree_index,birth_rate,death_rate,extant_species,sampled_species,transfer_rate,seed
0,1.0,0.0,600,60,0.025,602834898
1,1.0,0.0,600,60,0.025,531235470
2,1.0,0.0,600,60,0.025,428027061
3,1.0,0.0,600,60,0.025,849103909
4,1.0,0.0,600,60,0.025,293805509
5,1.0,0.0,600,60,0.025,296861575
6,1.0,0.0,600,60,0.025,626521971
7,1.0,0.0,600,60,0.025,883187313
8,1.0,0.0,600,60,0.025,167916896
9,1.0,0.0,600,60,0.025,480620657
10,1.0,0.0,600,60,0.025,1060761938
11,1.0,0.0,600,60,0.025,24766574
12,1.0,0.0,600,60,0.025,169304144
13,1.0,0.0,600,60,0.025,443262741
14,1.0,0.0,600,60,0.025,163811346
15,1.0,0.0,600,60,0.025,468433333
16,1.0,0.0,600,60,0.025,319865122
17,1.0,0.0,600,60,0.025,454380981
18,1.0,0.0,600,60,0.025,301316443
19,1.0,0.0,600,60,0.025,248510565
20,1.0,0.0,600,60,0.025,976414298
21,1.0,0.0,600,60,0.025,978835171
22,1.0,0.0,600,60,0.025,161648873
23,1.0,0.0,600,60,0.025,65496112
24,1.0,0.0,600,60,0.025,126624518
25,1.0,0.0,600,60,0.025,641927299
26,1.0,0.0,600,60,0.025,642975743
27,1.0,0.0,600,60,0.025,117518573
28,1.0,0.0,600,60,0.025,605864907
29,1.0,0.0,600,60,0.025,85872915
30,1.0,0.0,600,60,0.025,1056126367
31,1.0,0.0,600,60,0.025,576851569
32,1.0,0.0,600,60,0.025,687021619
33,1.0,0.0,600,60,0.025,364744777
34,1.0,0.0,600,60,0.025,906677343
35,1.0,0.0,600,60,0.025,560496288
36,1.0,0.0,600,60,0.025,946700849
37,1.0,0.0,600,60,0.025,945649590
38,1.0,0.0,600,60,0.025,335550113
39,1.0,0.0,600,60,0.025,35226686
40,1.0,0.0,600,60,0.025,460550826
41,1.0,0.0,600,60,0.025,781523575
42,1.0,0.0,600,60,0.025,120854522
43,1.0,0.0,600,60,0.025,577708606
44,1.0,0.0,600,60,0.025,111133757
45,1.0,0.0,600,60,0.025,828243905
46,1.0,0.0,600,60,0.025,373459741
47,1.0,0.0,600,60,0.025,131622456
48,1.0,0.0,600,60,0.025,752657262
49,1.0,0.0,600,60,0.025,989701751
50,1.0,0.0,600,60,0.025,824471997
51,1.0,0.0,600,60,0.025,73609901
52,1.0,0.0,600,60,0.025,4677392
53,1.0,0.0,600,60,0.025,1020708780
54,1.0,0.0,600,60,0.025,32590434
55,1.0,0.0,600,60,0.025,294521654
56,1.0,0.0,600,60,0.025,973435353
57,1.0,0.0,600,60,0.025,1029919111
58,1.0,0.0,600,60,0.025,601835337
59,1.0,0.0,600,60,0.025,767878756
60,1.0,0.0,600,60,0.025,25906621
61,1.0,0.0,600,60,0.025,824204815
62,1.0,0.0,600,60,0.025,912703285
63,1.0,0.0,600,60,0.025,1015477090
64,1.0,0.0,600,60,0.025,498079780
65,1.0,0.0,600,60,0.025,1035224796
66,1.0,0.0,600,60,0.025,569036985
67,1.0,0.0,600,60,0.025,480161381
68,1.0,0.0,600,60,0.025,256948673
69,1.0,0.0,600,60,0.025,833818834
70,1.0,0.0,600,60,0.025,750717315
71,1.0,0.0,600,60,0.025,173411851
72,1.0,0.0,600,60,0.025,707166525
73,1.0,0.0,600,60,0.025,517948911
74,1.0,0.0,600,60,0.025,799924735
75,1.0,0.0,600,60,0.025,601072190
76,1.0,0.0,600,60,0.025,17786715
77,1.0,0.0,600,60,0.025,1032234876
78,1.0,0.0,600,60,0.025,271117276
79,1.0,0.0,600,60,0.025,912861586
80,1.0,0.0,600,60,0.025,921298871
81,1.0,0.0,600,60,0.025,123015517
82,1.0,0.0,600,60,0.025,289151049
83,1.0,0.0,600,60,0.025,576395047
84,1.0,0.0,600,60,0.025,394666917
85,1.0,0.0,600,60,0.025,966089692
86,1.0,0.0,600,60,0.025,572477902
87,1.0,0.0,600,60,0.025,984175345
88,1.0,0.0,600,60,0.025,817263221
89,1.0,0.0,600,60,0.025,98629964
90,1.0,0.0,600,60,0.025,276693168
91,1.0,0.0,600,60,0.025,527654383
92,1.0,0.0,600,60,0.025,833160231
93,1.0,0.0,600,60,0.025,716954473
94,1.0,0.0,600,60,0.025,269417682
95,1.0,0.0,600,60,0.025,740476256
96,1.0,0.0,600,60,0.025,668126468
97,1.0,0.0,600,60,0.025,1030432696
98,1.0,0.0,600,60,0.025,664931991
99,1.0,0.0,600,60,0.025,232458576
100,1.0,0.0,600,60,0.025,545886721
101,1.0,0.0,600,60,0.025,809417880
102,1.0,0.0,600,60,0.025,549693357
103,1.0,0.0,600,60,0.025,449254788
104,1.0,0.0,600,60,0.025,802312605
105,1.0,0.0,600,60,0.025,363295675
106,1.0,0.0,600,60,0.025,46338909
107,1.0,0.0,600,60,0.025,223138020
108,1.0,0.0,600,60,0.025,582886900
109,1.0,0.0,600,60,0.025,651085014
110,1.0,0.0,600,60,0.025,449131758
